Model,Demand,Price,Capa,DVT_0,DVT_1,DVT_2,DVT_3,DVT_4,DVT_5,DVT_6,DVT_7,DVT_8,DVT_9,DVT_10,DVT_11,DVT_12,DVT_13,DVT_14,DVT_15,DVT_16,DVT_17,DVT_18
Model A,"6,521,238 ",40.5,"6,521,238 ",0,0,0,1,1.5,2,2.5,3,3.5,4,4,4,4,4,4,4,4,4,4
Model B,"13,784,526 ",27.6,"13,784,526 ",0,0,0,0,0,0,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9
Model C,"326,540 ",100.7,"326,540 ",0,0,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Model D,"894,456 ",65,"894,456 ",0,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Model E,"8,955,420 ",33.2,"8,955,420 ",0,0,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7,7
Model F,"1,235,468 ",68.6,"1,235,468 ",0,0,0.7,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Model G,"5,648,412 ",45.2,"5,648,412 ",0,0,1,1.5,2,2.5,3,3.5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Model H,"556,984 ",90.5,"556,984 ",0,1,3,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Model I,"20,365,480 ",17.6,"20,365,480 ",0,0,0,0,0,0,0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4,4,4
Model J,"16,846,513 ",22.6,"16,846,513 ",0,0,0,0,0,0,0.5,1,1,1.5,1.5,2.5,2.5,3.5,3.5,4.5,4.5,4.5,4.5
