Model,Demand,Price,Capa,DVT_0,DVT_1,DVT_2,DVT_3,DVT_4,DVT_5,DVT_6,DVT_7,DVT_8,DVT_9,DVT_10,DVT_11,DVT_12,DVT_13,DVT_14,DVT_15,DVT_16,DVT_17,DVT_18,DVT_19,DVT_20,DVT_21,DVT_22,DVT_23,DVT_24,DVT_25
Model A,"6,521,238 ",39.9,"6,521,238 ",0,0,0,0,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5
Model B,"13,784,526 ",27.5,"13,784,526 ",0,0,0,0,0,0.3,0.7,1.1,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.5,6.5,6.5,6.5,6.5
Model C,"326,540 ",102,"326,540 ",0,0,2,4,6,,,,,,,,,,,,,,,,,,,,,
Model D,"894,456 ",63,"894,456 ",0,0,1.5,3,4.5,5,,,,,,,,,,,,,,,,,,,,
Model E,"8,955,420 ",31.9,"8,955,420 ",0,0,0,0,0,0.2,0.5,1,1.2,1.5,2,2.2,2.5,3,3.2,3.5,4,4.2,4.5,5,5.2,5.5,6,6.2,6.5,7
Model F,"1,235,468 ",67.8,"1,235,468 ",0,0,1,2,3,4,4,4,4,5,,,,,,,,,,,,,,,,
Model G,"5,648,412 ",44.6,"5,648,412 ",0,0,0,0,1,1,1,1,1.5,1.5,2,2,2,3,3.5,3.5,3.5,4,4,4,4.5,5,6,7,7,7
Model H,"556,984 ",88.7,"556,984 ",0,1,2,3,4,4,5,,,,,,,,,,,,,,,,,,,
Model I,"20,365,480 ",17.4,"20,365,480 ",0,0,0,0,0,0,0.3,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.7,3,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.4,5.7,6
Model J,"16,846,513 ",23.1,"16,846,513 ",0,0,0,0,0,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8,8,8,8
