Model,Demand,Price,Capa,DVT_0,DVT_1,DVT_2,DVT_3,DVT_4,DVT_5,DVT_6,DVT_7,DVT_8,DVT_9,DVT_10,
Model A,"6,521,238 ",35,"3,500,000 ",0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,
Model B,"13,784,526 ",24.7,"5,000,000 ",1,1,1,1.5,1.5,2,3,4,5,6,7,
Model C,"326,540 ",93.4,"350,000 ",0,2,4,6,8,8,8,8,8,8,8,
Model D,"894,456 ",60.5,"900,000 ",0,1,2,3,4,5,6,7,7,7,7,
Model E,"8,955,420 ",33.2,"9,000,000 ",0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,
Model F,"1,235,468 ",63.1,"1,500,000 ",0,1,2,3,4,5,6,7,7,7,7,
Model G,"5,648,412 ",42.3,"5,500,000 ",0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,
Model H,"556,984 ",85,"450,000 ",0,1,2,3,4,5,6,7,8,8,8,
Model I,"20,365,480 ",15.6,"15,000,000 ",1,2,2,3,3,3,4,6,7,8,9,
Model J,"16,846,513 ",20.7,"12,300,000 ",1,2,2.5,3,3,3.5,4,4.5,5,6,7,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
