Model,Demand,Price,Capa,DVT_0,DVT_1,DVT_2,DVT_3,DVT_4,DVT_5,DVT_6,DVT_7,DVT_8
Model A,"6,521,238 ",41,"6,521,238 ",0,1,2,3,4,5,5,5,6
Model B,"13,784,526 ",27.5,"13,784,526 ",0,0.5,1.5,2.5,3.5,4.5,5.5,5.5,7
Model C,"326,540 ",100,"326,540 ",0,1.2,1.5,2,3,4,4.5,5,6
Model D,"894,456 ",66,"894,456 ",0,1.3,1.6,2,2.3,2.6,3,3.3,3.6
Model E,"8,955,420 ",34,"8,955,420 ",0,0,0,0.4,0.8,1.2,1.6,2,4
Model F,"1,235,468 ",68.4,"1,235,468 ",0,0.5,1,1.5,2,2.5,3,3.5,4
Model G,"5,648,412 ",45.4,"5,648,412 ",0,0,0.5,1,1.5,2,2.5,4,5
Model H,"556,984 ",91,"556,984 ",0,1,1,2,2,3,3,4,4
Model I,"20,365,480 ",17.9,"20,365,480 ",0,2,3,4,5,6,7,8,8
Model J,"16,846,513 ",22,"16,846,513 ",0,1,1.5,3,3.5,4,4.5,5,6

