Model,Demand,Price,Capa,DVT_0,DVT_1,DVT_2,DVT_3,DVT_4,DVT_5,DVT_6,DVT_7,DVT_8,DVT_9,DVT_10,DVT_11,DVT_12
Model A,"6,521,238 ",42,,,,,,,,,,,,,,
Model B,"13,784,526 ",28,,,,,,,,,,,,,,
Model C,"326,540 ",105,,,,,,,,,,,,,,
Model D,"894,456 ",63,,,,,,,,,,,,,,
Model E,"8,955,420 ",35,,,,,,,,,,,,,,
Model F,"1,235,468 ",66,,,,,,,,,,,,,,
Model G,"5,648,412 ",50,,,,,,,,,,,,,,
Model H,"556,984 ",88,,,,,,,,,,,,,,
Model I,"20,365,480 ",19,,,,,,,,,,,,,,
Model J,"16,846,513 ",25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
