업체,구분,수량
A,DVT_1,"50,000 "
A,DVT_2,"100,000 "
A,DVT_3,"200,000 "
A,DVT_4,"300,000 "
A,DVT_5,"400,000 "
A,DVT_6,"500,000 "
A,DVT_7,"750,000 "
A,DVT_8,"1,000,000 "
A,DVT_9,"1,200,000 "
A,DVT_10,"1,500,000 "
A,DVT_11,"1,800,000 "
A,DVT_12,"2,000,000 "
A,DVT_13,"2,500,000 "
A,DVT_14,"3,000,000 "
A,DVT_15,"3,500,000 "
A,DVT_16,"4,000,000 "
A,DVT_17,"4,500,000 "
A,DVT_18,"5,000,000 "
B,DVT_1,"100,000 "
B,DVT_2,"200,000 "
B,DVT_3,"300,000 "
B,DVT_4,"400,000 "
B,DVT_5,"500,000 "
B,DVT_6,"600,000 "
B,DVT_7,"700,000 "
B,DVT_8,"800,000 "
B,DVT_9,"900,000 "
B,DVT_10,"1,000,000 "
B,DVT_11,"1,250,000 "
B,DVT_12,"1,500,000 "
B,DVT_13,"1,750,000 "
B,DVT_14,"2,000,000 "
B,DVT_15,"2,500,000 "
B,DVT_16,"3,000,000 "
B,DVT_17,"3,500,000 "
B,DVT_18,"4,000,000 "
B,DVT_19,"4,500,000 "
B,DVT_20,"5,000,000 "
B,DVT_21,"5,500,000 "
B,DVT_22,"6,000,000 "
B,DVT_23,"6,500,000 "
B,DVT_24,"7,000,000 "
B,DVT_25,"7,500,000 "
H,DVT_1,"50,000 "
H,DVT_2,"150,000 "
H,DVT_3,"250,000 "
H,DVT_4,"500,000 "
H,DVT_5,"1,000,000 "
H,DVT_6,"1,500,000 "
H,DVT_7,"2,000,000 "
H,DVT_8,"3,000,000 "
H,DVT_9,"4,000,000 "
H,DVT_10,"5,000,000 "
I,DVT_1,"100,000 "
I,DVT_2,"200,000 "
I,DVT_3,"400,000 "
I,DVT_4,"600,000 "
I,DVT_5,"800,000 "
I,DVT_6,"1,000,000 "
I,DVT_7,"1,500,000 "
I,DVT_8,"2,000,000 "
L,DVT_1,"100,000 "
L,DVT_2,"300,000 "
L,DVT_3,"500,000 "
L,DVT_4,"1,000,000 "
L,DVT_5,"1,500,000 "
L,DVT_6,"2,000,000 "
L,DVT_7,"2,500,000 "
L,DVT_8,"3,000,000 "
L,DVT_9,"3,500,000 "
L,DVT_10,"4,000,000 "
L,DVT_11,"4,500,000 "
L,DVT_12,"5,000,000 "
